# To display the perf.data header info, please use --header/--header-only options.
#
# comm: nerd
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu/cycles/Pu'
# Event count (approx.): 235456187
#
# Overhead  Shared Object         Symbol                                    
# ........  ....................  ..........................................
#
     0.00%  nerd                  [.] llvm_debug_emit_marker
     0.00%  [unknown]             [k] 0xffffffffb9a17b39
     0.00%  libc.so.6             [.] 0x00000000000be239
     0.00%  libc.so.6             [.] 0x0000000000075a27
     0.00%  libc.so.6             [.] 0x00000000000756d3
     0.00%  [unknown]             [k] 0xffffffffb84015f0
     0.00%  libc.so.6             [.] 0x000000000007581c
     0.00%  [unknown]             [k] 0xffffffffb8707c3f
     0.00%  libc.so.6             [.] 0x00000000001b8082
     0.00%  libc.so.6             [.] 0x000000000006976d
     0.00%  libc.so.6             [.] 0x000000000006ae88
     0.00%  nerd                  [.] llvm_load_local_slot
     0.00%  nerd                  [.] mem_stats_record_arena_init
     0.00%  libc.so.6             [.] 0x00000000001b8077
     0.00%  libc.so.6             [.] 0x000000000006b004
     0.00%  libc.so.6             [.] 0x0000000000076d37
     0.00%  libc.so.6             [.] 0x000000000006adc1
     0.00%  libc.so.6             [.] 0x0000000000076574
     0.00%  libc.so.6             [.] 0x000000000006976a
     0.00%  libc.so.6             [.] 0x000000000009f1a7
     0.00%  [unknown]             [k] 0xffffffffb8401710
     0.00%  libc.so.6             [.] 0x0000000000075697
     0.00%  libc.so.6             [.] 0x00000000001b8044
     0.00%  nerd                  [.] path_canonical
     0.00%  libc.so.6             [.] 0x0000000000077302
     0.00%  libc.so.6             [.] 0x00000000001b88dc
     0.00%  libc.so.6             [.] 0x00000000001b1fc4
     0.00%  libc.so.6             [.] 0x00000000000754e0
     0.00%  libc.so.6             [.] 0x00000000000755dc
     0.00%  libc.so.6             [.] 0x000000000007550c
     0.00%  libc.so.6             [.] 0x00000000001b1651
     0.00%  libc.so.6             [.] 0x00000000001b8844
     0.00%  [unknown]             [k] 0xffffffffb86a6006
     0.00%  libc.so.6             [.] 0x0000000000075deb
     0.00%  [unknown]             [k] 0xffffffffb9a120b0
     0.00%  libc.so.6             [.] 0x0000000000069746
     0.00%  libc.so.6             [.] 0x00000000000755e6
     0.00%  nerd                  [.] llvm_debug_append_quoted
     0.00%  libc.so.6             [.] 0x0000000000076906
     0.00%  [unknown]             [k] 0xffffffffb84000bb
     0.00%  libc.so.6             [.] 0x00000000001b804e
     0.00%  libc.so.6             [.] 0x00000000000acf8d
     0.00%  ld-linux-x86-64.so.2  [.] 0x0000000000029bea
     0.00%  [unknown]             [k] 0xffffffffb86a908e
     0.00%  nerd                  [.] back_end_render_llvm_task
     0.00%  libc.so.6             [.] 0x000000000006b4ab
     0.00%  libc.so.6             [.] 0x000000000006aff3
     0.00%  [unknown]             [k] 0xffffffffb9a17b46
     0.00%  nerd                  [.] task_worker
     0.00%  libc.so.6             [.] pthread_cond_wait
     0.00%  libc.so.6             [.] 0x0000000000076d13
     0.00%  [unknown]             [k] 0xffffffffb84016a2
     0.00%  [unknown]             [k] 0xffffffffb86dc1dc
     0.00%  libc.so.6             [.] 0x00000000000acc96
     0.00%  libc.so.6             [.] 0x00000000000bc199
     0.00%  [unknown]             [k] 0xffffffffb9a17b34
     0.00%  libc.so.6             [.] 0x000000000006adb4
     0.00%  nerd                  [.] sb_append_cstr
     0.00%  libc.so.6             [.] 0x00000000000772c4
     0.00%  libc.so.6             [.] 0x00000000001b7ffe
     0.00%  libc.so.6             [.] 0x00000000001b15c4
     0.00%  [unknown]             [k] 0xffffffffb86006da
     0.00%  [unknown]             [k] 0xffffffffb86a8db6
     0.00%  libc.so.6             [.] 0x0000000000075ffb
     0.00%  libc.so.6             [.] 0x00000000001b8013
     0.00%  libc.so.6             [.] 0x00000000000a9845
     0.00%  [unknown]             [k] 0xffffffffb86a646d
     0.00%  libc.so.6             [.] 0x0000000000075a24
     0.00%  libc.so.6             [.] 0x0000000000075aaf
     0.00%  libc.so.6             [.] __ctype_init
     0.00%  libc.so.6             [.] 0x000000000006b4cd
